Name;Owner;Group;Time;Latitude;Longitude;Bathymetry;Battery;Temperature;Speed;Drift;Tons;Distribution
ISD+508585;GregoriMayolOfi;;24/07/2025 9:48;39°52,367' N;2°39,800' E;;91%;;;;;
ISD+508585;GregoriMayolOfi;;25/07/2025 4:27;39°52,350' N;2°39,817' E;;;23°C;0 kn;135°;;
ISD+508585;GregoriMayolOfi;;26/07/2025 4:29;39°52,350' N;2°39,883' E;;77%;22°C;0 kn;90°;;
ISD+508585;GregoriMayolOfi;;27/07/2025 4:26;39°52,383' N;2°39,817' E;;78%;24°C;0 kn;296°;;
ISD+508585;GregoriMayolOfi;;28/07/2025 4:29;39°52,400' N;2°39,867' E;;78%;24°C;0 kn;71°;;
ISD+508585;GregoriMayolOfi;;29/07/2025 4:30;39°52,333' N;2°39,817' E;;77%;23°C;0 kn;216°;;
ISD+508585;GregoriMayolOfi;;30/07/2025 4:26;39°57,217' N;2°37,367' E;;85%;23°C;0.22 kn;333°;;
ISD+508585;GregoriMayolOfi;;31/07/2025 4:26;40°00,850' N;2°46,917' E;;86%;23°C;0.34 kn;69°;;
ISD+508585;GregoriMayolOfi;;01/08/2025 4:18;;;;;;;;0;
ISD+508585;GregoriMayolOfi;;01/08/2025 4:26;39°59,633' N;2°55,917' E;;85%;23°C;0.29 kn;97°;;
ISD+508585;GregoriMayolOfi;;01/08/2025 7:02;;;;;;;;;100% BE
ISD+508585;GregoriMayolOfi;;02/08/2025 4:26;40°02,850' N;3°04,367' E;;86%;23°C;0.3 kn;69°;;
ISD+508585;GregoriMayolOfi;;02/08/2025 17:41;40°02,817' N;3°06,417' E;;100%;;0.12 kn;90°;;
ISD+508585;GregoriMayolOfi;;02/08/2025 17:41;40°02,850' N;3°06,433' E;;96%;;;;;
ISD+508585;GregoriMayolOfi;;02/08/2025 17:41;40°02,833' N;3°06,433' E;;100%;;;;;
ISD+508585;GregoriMayolOfi;;02/08/2025 17:41;40°02,933' N;3°06,500' E;;78%;;;;;
ISD+508585;GregoriMayolOfi;;02/08/2025 17:41;40°03,033' N;3°06,550' E;;61%;;;;;
ISD+508585;GregoriMayolOfi;;02/08/2025 17:55;40°03,100' N;3°06,617' E;;62%;;0.35 kn;45°;;
ISD+508585;GregoriMayolOfi;;03/08/2025 4:26;40°04,883' N;3°10,633' E;;47%;;0.34 kn;66°;;
ISD+508585;GregoriMayolOfi;;04/08/2025 4:26;40°08,533' N;3°10,750' E;;86%;24°C;0.15 kn;1°;;
ISD+508585;GregoriMayolOfi;;05/08/2025 4:26;40°10,050' N;3°19,167' E;;86%;24°C;;;;
ISD+508585;GregoriMayolOfi;;06/08/2025 4:26;40°14,567' N;3°23,100' E;;86%;24°C;0.23 kn;41°;;
ISD+508585;GregoriMayolOfi;;07/08/2025 4:26;40°16,617' N;3°34,883' E;;88%;25°C;0.38 kn;80°;;
ISD+508585;GregoriMayolOfi;;07/08/2025 9:07;40°19,567' N;3°36,417' E;;100%;;0.68 kn;27°;;
ISD+508585;GregoriMayolOfi;;08/08/2025 4:00;;;;;;;;1;100% SK
ISD+508585;GregoriMayolOfi;;08/08/2025 4:26;40°26,600' N;3°39,417' E;;86%;24°C;0.38 kn;23°;;
ISD+508585;GregoriMayolOfi;;08/08/2025 6:52;;;;;;;;;100% SK
ISD+508585;GregoriMayolOfi;;08/08/2025 8:46;40°27,117' N;3°38,550' E;;100%;;0.19 kn;300°;;
ISD+508585;GregoriMayolOfi;;09/08/2025 4:26;;;;;;;;8;100% SK
ISD+508585;GregoriMayolOfi;;09/08/2025 4:29;40°35,083' N;3°38,217' E;;86%;24°C;0.4 kn;357°;;
ISD+508585;GregoriMayolOfi;;10/08/2025 4:26;40°44,400' N;3°36,900' E;;86%;24°C;0.39 kn;351°;;
ISD+508585;GregoriMayolOfi;;11/08/2025 4:26;40°53,600' N;3°35,683' E;;86%;25°C;0.39 kn;352°;;
ISD+508585;GregoriMayolOfi;;12/08/2025 4:26;40°59,317' N;3°38,483' E;;88%;26°C;0.25 kn;26°;;
ISD+508585;GregoriMayolOfi;;13/08/2025 4:26;40°59,683' N;3°38,867' E;;88%;26°C;0.02 kn;46°;;
ISD+508585;GregoriMayolOfi;;14/08/2025 4:26;40°58,817' N;3°46,883' E;;88%;25°C;0.25 kn;96°;;
ISD+508585;GregoriMayolOfi;;15/08/2025 4:26;41°00,900' N;3°55,800' E;;88%;26°C;0.29 kn;76°;;
ISD+508585;GregoriMayolOfi;;16/08/2025 4:26;41°05,500' N;4°07,733' E;;88%;26°C;0.42 kn;68°;;
ISD+508585;GregoriMayolOfi;;17/08/2025 4:26;41°00,733' N;4°11,850' E;;88%;26°C;0.24 kn;139°;;
ISD+508585;GregoriMayolOfi;;17/08/2025 16:26;;;;;;;;1;100% SK
ISD+508585;GregoriMayolOfi;;18/08/2025 4:00;;;;;;;;1;100% YF
ISD+508585;GregoriMayolOfi;;18/08/2025 4:26;40°53,600' N;4°11,067' E;;86%;25°C;0.3 kn;186°;;
ISD+508585;GregoriMayolOfi;;18/08/2025 6:37;;;;;;;;;100% YF
ISD+508585;GregoriMayolOfi;;19/08/2025 4:26;40°42,883' N;4°05,600' E;;88%;25°C;0.48 kn;207°;;
ISD+508585;GregoriMayolOfi;;20/08/2025 4:19;40°40,567' N;3°52,250' E;;89%;;0.43 kn;260°;;
ISD+508585;GregoriMayolOfi;;20/08/2025 4:26;40°40,550' N;3°52,100' E;;89%;25°C;1.06 kn;263°;;
ISD+508585;GregoriMayolOfi;;20/08/2025 9:26;;;;;;;;1;100% SK
